Registry Name,ID,Has Block,Class
minecraft:air,0,false,net.minecraft.item.ItemAir
minecraft:stone,1,true,net.minecraft.item.ItemMultiTexture
minecraft:grass,2,true,net.minecraft.item.ItemColored
minecraft:dirt,3,true,net.minecraft.item.ItemMultiTexture
minecraft:cobblestone,4,true,net.minecraft.item.ItemBlock
minecraft:planks,5,true,net.minecraft.item.ItemMultiTexture
minecraft:sapling,6,true,net.minecraft.item.ItemMultiTexture
minecraft:bedrock,7,true,net.minecraft.item.ItemBlock
minecraft:sand,12,true,net.minecraft.item.ItemMultiTexture
minecraft:gravel,13,true,net.minecraft.item.ItemBlock
minecraft:gold_ore,14,true,net.minecraft.item.ItemBlock
minecraft:iron_ore,15,true,net.minecraft.item.ItemBlock
minecraft:coal_ore,16,true,net.minecraft.item.ItemBlock
minecraft:log,17,true,net.minecraft.item.ItemMultiTexture
minecraft:leaves,18,true,net.minecraft.item.ItemLeaves
minecraft:sponge,19,true,net.minecraft.item.ItemMultiTexture
minecraft:glass,20,true,net.minecraft.item.ItemBlock
minecraft:lapis_ore,21,true,net.minecraft.item.ItemBlock
minecraft:lapis_block,22,true,net.minecraft.item.ItemBlock
minecraft:dispenser,23,true,net.minecraft.item.ItemBlock
minecraft:sandstone,24,true,net.minecraft.item.ItemMultiTexture
minecraft:noteblock,25,true,net.minecraft.item.ItemBlock
minecraft:golden_rail,27,true,net.minecraft.item.ItemBlock
minecraft:detector_rail,28,true,net.minecraft.item.ItemBlock
minecraft:sticky_piston,29,true,net.minecraft.item.ItemPiston
minecraft:web,30,true,net.minecraft.item.ItemBlock
minecraft:tallgrass,31,true,net.minecraft.item.ItemColored
minecraft:deadbush,32,true,net.minecraft.item.ItemBlock
minecraft:piston,33,true,net.minecraft.item.ItemPiston
minecraft:wool,35,true,net.minecraft.item.ItemCloth
minecraft:yellow_flower,37,true,net.minecraft.item.ItemMultiTexture
minecraft:red_flower,38,true,net.minecraft.item.ItemMultiTexture
minecraft:brown_mushroom,39,true,betterwithmods.common.items.ItemBlockEdible
minecraft:red_mushroom,40,true,betterwithmods.common.items.ItemBlockEdible
minecraft:gold_block,41,true,net.minecraft.item.ItemBlock
minecraft:iron_block,42,true,net.minecraft.item.ItemBlock
minecraft:stone_slab,44,true,net.minecraft.item.ItemSlab
minecraft:brick_block,45,true,net.minecraft.item.ItemBlock
minecraft:tnt,46,true,net.minecraft.item.ItemBlock
minecraft:bookshelf,47,true,net.minecraft.item.ItemBlock
minecraft:mossy_cobblestone,48,true,net.minecraft.item.ItemBlock
minecraft:obsidian,49,true,net.minecraft.item.ItemBlock
minecraft:torch,50,true,net.minecraft.item.ItemBlock
minecraft:mob_spawner,52,true,net.minecraft.item.ItemBlock
minecraft:oak_stairs,53,true,net.minecraft.item.ItemBlock
minecraft:chest,54,true,net.minecraft.item.ItemBlock
minecraft:diamond_ore,56,true,net.minecraft.item.ItemBlock
minecraft:diamond_block,57,true,net.minecraft.item.ItemBlock
minecraft:crafting_table,58,true,net.minecraft.item.ItemBlock
minecraft:farmland,60,true,net.minecraft.item.ItemBlock
minecraft:furnace,61,true,net.minecraft.item.ItemBlock
minecraft:ladder,65,true,net.minecraft.item.ItemBlock
minecraft:rail,66,true,net.minecraft.item.ItemBlock
minecraft:stone_stairs,67,true,net.minecraft.item.ItemBlock
minecraft:lever,69,true,net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate,70,true,net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate,72,true,net.minecraft.item.ItemBlock
minecraft:redstone_ore,73,true,net.minecraft.item.ItemBlock
minecraft:redstone_torch,76,true,net.minecraft.item.ItemBlock
minecraft:stone_button,77,true,net.minecraft.item.ItemBlock
minecraft:snow_layer,78,true,net.minecraft.item.ItemSnow
minecraft:ice,79,true,net.minecraft.item.ItemBlock
minecraft:snow,80,true,net.minecraft.item.ItemBlock
minecraft:cactus,81,true,net.minecraft.item.ItemBlock
minecraft:clay,82,true,net.minecraft.item.ItemBlock
minecraft:jukebox,84,true,net.minecraft.item.ItemBlock
minecraft:fence,85,true,net.minecraft.item.ItemBlock
minecraft:pumpkin,86,true,net.minecraft.item.ItemBlock
minecraft:netherrack,87,true,net.minecraft.item.ItemBlock
minecraft:soul_sand,88,true,net.minecraft.item.ItemBlock
minecraft:glowstone,89,true,net.minecraft.item.ItemBlock
minecraft:lit_pumpkin,91,true,net.minecraft.item.ItemBlock
minecraft:stained_glass,95,true,net.minecraft.item.ItemCloth
minecraft:trapdoor,96,true,net.minecraft.item.ItemBlock
minecraft:monster_egg,97,true,net.minecraft.item.ItemMultiTexture
minecraft:stonebrick,98,true,net.minecraft.item.ItemMultiTexture
minecraft:brown_mushroom_block,99,true,net.minecraft.item.ItemBlock
minecraft:red_mushroom_block,100,true,net.minecraft.item.ItemBlock
minecraft:iron_bars,101,true,net.minecraft.item.ItemBlock
minecraft:glass_pane,102,true,net.minecraft.item.ItemBlock
minecraft:melon_block,103,true,net.minecraft.item.ItemBlock
minecraft:vine,106,true,net.minecraft.item.ItemColored
minecraft:fence_gate,107,true,net.minecraft.item.ItemBlock
minecraft:brick_stairs,108,true,net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs,109,true,net.minecraft.item.ItemBlock
minecraft:mycelium,110,true,net.minecraft.item.ItemBlock
minecraft:waterlily,111,true,net.minecraft.item.ItemLilyPad
minecraft:nether_brick,112,true,net.minecraft.item.ItemBlock
minecraft:nether_brick_fence,113,true,net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs,114,true,net.minecraft.item.ItemBlock
minecraft:enchanting_table,116,true,net.minecraft.item.ItemBlock
minecraft:end_portal_frame,120,true,net.minecraft.item.ItemBlock
minecraft:end_stone,121,true,net.minecraft.item.ItemBlock
minecraft:dragon_egg,122,true,net.minecraft.item.ItemBlock
minecraft:redstone_lamp,123,true,net.minecraft.item.ItemBlock
minecraft:wooden_slab,126,true,net.minecraft.item.ItemSlab
minecraft:sandstone_stairs,128,true,net.minecraft.item.ItemBlock
minecraft:emerald_ore,129,true,net.minecraft.item.ItemBlock
minecraft:ender_chest,130,true,net.minecraft.item.ItemBlock
minecraft:tripwire_hook,131,true,net.minecraft.item.ItemBlock
minecraft:emerald_block,133,true,net.minecraft.item.ItemBlock
minecraft:spruce_stairs,134,true,net.minecraft.item.ItemBlock
minecraft:birch_stairs,135,true,net.minecraft.item.ItemBlock
minecraft:jungle_stairs,136,true,net.minecraft.item.ItemBlock
minecraft:command_block,137,true,net.minecraft.item.ItemBlock
minecraft:beacon,138,true,net.minecraft.item.ItemBlock
minecraft:cobblestone_wall,139,true,net.minecraft.item.ItemMultiTexture
minecraft:wooden_button,143,true,net.minecraft.item.ItemBlock
minecraft:anvil,145,true,net.minecraft.item.ItemAnvilBlock
minecraft:trapped_chest,146,true,net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate,147,true,net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate,148,true,net.minecraft.item.ItemBlock
minecraft:daylight_detector,151,true,net.minecraft.item.ItemBlock
minecraft:redstone_block,152,true,net.minecraft.item.ItemBlock
minecraft:quartz_ore,153,true,net.minecraft.item.ItemBlock
minecraft:hopper,154,true,net.minecraft.item.ItemBlock
minecraft:quartz_block,155,true,net.minecraft.item.ItemMultiTexture
minecraft:quartz_stairs,156,true,net.minecraft.item.ItemBlock
minecraft:activator_rail,157,true,net.minecraft.item.ItemBlock
minecraft:dropper,158,true,net.minecraft.item.ItemBlock
minecraft:stained_hardened_clay,159,true,net.minecraft.item.ItemCloth
minecraft:stained_glass_pane,160,true,net.minecraft.item.ItemCloth
minecraft:leaves2,161,true,net.minecraft.item.ItemLeaves
minecraft:log2,162,true,net.minecraft.item.ItemMultiTexture
minecraft:acacia_stairs,163,true,net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs,164,true,net.minecraft.item.ItemBlock
minecraft:slime,165,true,net.minecraft.item.ItemBlock
minecraft:barrier,166,true,net.minecraft.item.ItemBlock
minecraft:iron_trapdoor,167,true,net.minecraft.item.ItemBlock
minecraft:prismarine,168,true,net.minecraft.item.ItemMultiTexture
minecraft:sea_lantern,169,true,net.minecraft.item.ItemBlock
minecraft:hay_block,170,true,net.minecraft.item.ItemBlock
minecraft:carpet,171,true,net.minecraft.item.ItemCloth
minecraft:hardened_clay,172,true,net.minecraft.item.ItemBlock
minecraft:coal_block,173,true,net.minecraft.item.ItemBlock
minecraft:packed_ice,174,true,net.minecraft.item.ItemBlock
minecraft:double_plant,175,true,net.minecraft.item.ItemMultiTexture
minecraft:red_sandstone,179,true,net.minecraft.item.ItemMultiTexture
minecraft:red_sandstone_stairs,180,true,net.minecraft.item.ItemBlock
minecraft:stone_slab2,182,true,net.minecraft.item.ItemSlab
minecraft:spruce_fence_gate,183,true,net.minecraft.item.ItemBlock
minecraft:birch_fence_gate,184,true,net.minecraft.item.ItemBlock
minecraft:jungle_fence_gate,185,true,net.minecraft.item.ItemBlock
minecraft:dark_oak_fence_gate,186,true,net.minecraft.item.ItemBlock
minecraft:acacia_fence_gate,187,true,net.minecraft.item.ItemBlock
minecraft:spruce_fence,188,true,net.minecraft.item.ItemBlock
minecraft:birch_fence,189,true,net.minecraft.item.ItemBlock
minecraft:jungle_fence,190,true,net.minecraft.item.ItemBlock
minecraft:dark_oak_fence,191,true,net.minecraft.item.ItemBlock
minecraft:acacia_fence,192,true,net.minecraft.item.ItemBlock
minecraft:end_rod,198,true,net.minecraft.item.ItemBlock
minecraft:chorus_plant,199,true,net.minecraft.item.ItemBlock
minecraft:chorus_flower,200,true,net.minecraft.item.ItemBlock
minecraft:purpur_block,201,true,net.minecraft.item.ItemBlock
minecraft:purpur_pillar,202,true,net.minecraft.item.ItemBlock
minecraft:purpur_stairs,203,true,net.minecraft.item.ItemBlock
minecraft:purpur_slab,205,true,net.minecraft.item.ItemSlab
minecraft:end_bricks,206,true,net.minecraft.item.ItemBlock
minecraft:grass_path,208,true,net.minecraft.item.ItemBlock
minecraft:repeating_command_block,210,true,net.minecraft.item.ItemBlock
minecraft:chain_command_block,211,true,net.minecraft.item.ItemBlock
minecraft:magma,213,true,net.minecraft.item.ItemBlock
minecraft:nether_wart_block,214,true,net.minecraft.item.ItemBlock
minecraft:red_nether_brick,215,true,net.minecraft.item.ItemBlock
minecraft:bone_block,216,true,net.minecraft.item.ItemBlock
minecraft:structure_void,217,true,net.minecraft.item.ItemBlock
minecraft:observer,218,true,net.minecraft.item.ItemBlock
minecraft:white_shulker_box,219,true,net.minecraft.item.ItemShulkerBox
minecraft:orange_shulker_box,220,true,net.minecraft.item.ItemShulkerBox
minecraft:magenta_shulker_box,221,true,net.minecraft.item.ItemShulkerBox
minecraft:light_blue_shulker_box,222,true,net.minecraft.item.ItemShulkerBox
minecraft:yellow_shulker_box,223,true,net.minecraft.item.ItemShulkerBox
minecraft:lime_shulker_box,224,true,net.minecraft.item.ItemShulkerBox
minecraft:pink_shulker_box,225,true,net.minecraft.item.ItemShulkerBox
minecraft:gray_shulker_box,226,true,net.minecraft.item.ItemShulkerBox
minecraft:silver_shulker_box,227,true,net.minecraft.item.ItemShulkerBox
minecraft:cyan_shulker_box,228,true,net.minecraft.item.ItemShulkerBox
minecraft:purple_shulker_box,229,true,net.minecraft.item.ItemShulkerBox
minecraft:blue_shulker_box,230,true,net.minecraft.item.ItemShulkerBox
minecraft:brown_shulker_box,231,true,net.minecraft.item.ItemShulkerBox
minecraft:green_shulker_box,232,true,net.minecraft.item.ItemShulkerBox
minecraft:red_shulker_box,233,true,net.minecraft.item.ItemShulkerBox
minecraft:black_shulker_box,234,true,net.minecraft.item.ItemShulkerBox
minecraft:white_glazed_terracotta,235,true,net.minecraft.item.ItemBlock
minecraft:orange_glazed_terracotta,236,true,net.minecraft.item.ItemBlock
minecraft:magenta_glazed_terracotta,237,true,net.minecraft.item.ItemBlock
minecraft:light_blue_glazed_terracotta,238,true,net.minecraft.item.ItemBlock
minecraft:yellow_glazed_terracotta,239,true,net.minecraft.item.ItemBlock
minecraft:lime_glazed_terracotta,240,true,net.minecraft.item.ItemBlock
minecraft:pink_glazed_terracotta,241,true,net.minecraft.item.ItemBlock
minecraft:gray_glazed_terracotta,242,true,net.minecraft.item.ItemBlock
minecraft:silver_glazed_terracotta,243,true,net.minecraft.item.ItemBlock
minecraft:cyan_glazed_terracotta,244,true,net.minecraft.item.ItemBlock
minecraft:purple_glazed_terracotta,245,true,net.minecraft.item.ItemBlock
minecraft:blue_glazed_terracotta,246,true,net.minecraft.item.ItemBlock
minecraft:brown_glazed_terracotta,247,true,net.minecraft.item.ItemBlock
minecraft:green_glazed_terracotta,248,true,net.minecraft.item.ItemBlock
minecraft:red_glazed_terracotta,249,true,net.minecraft.item.ItemBlock
minecraft:black_glazed_terracotta,250,true,net.minecraft.item.ItemBlock
minecraft:concrete,251,true,net.minecraft.item.ItemCloth
minecraft:concrete_powder,252,true,net.minecraft.item.ItemCloth
minecraft:structure_block,255,true,net.minecraft.item.ItemBlock
minecraft:iron_shovel,256,false,net.minecraft.item.ItemSpade
minecraft:iron_pickaxe,257,false,net.minecraft.item.ItemPickaxe
minecraft:iron_axe,258,false,net.minecraft.item.ItemAxe
minecraft:flint_and_steel,259,false,net.minecraft.item.ItemFlintAndSteel
minecraft:apple,260,false,com.pam.harvestcraft.item.items.ItemPamFood
minecraft:bow,261,false,net.minecraft.item.ItemBow
minecraft:arrow,262,false,net.minecraft.item.ItemArrow
minecraft:coal,263,false,net.minecraft.item.ItemCoal
minecraft:diamond,264,false,net.minecraft.item.Item
minecraft:iron_ingot,265,false,net.minecraft.item.Item
minecraft:gold_ingot,266,false,net.minecraft.item.Item
minecraft:iron_sword,267,false,net.minecraft.item.ItemSword
minecraft:wooden_sword,268,false,net.minecraft.item.ItemSword
minecraft:wooden_shovel,269,false,net.minecraft.item.ItemSpade
minecraft:wooden_pickaxe,270,false,net.minecraft.item.ItemPickaxe
minecraft:wooden_axe,271,false,net.minecraft.item.ItemAxe
minecraft:stone_sword,272,false,net.minecraft.item.ItemSword
minecraft:stone_shovel,273,false,net.minecraft.item.ItemSpade
minecraft:stone_pickaxe,274,false,net.minecraft.item.ItemPickaxe
minecraft:stone_axe,275,false,net.minecraft.item.ItemAxe
minecraft:diamond_sword,276,false,net.minecraft.item.ItemSword
minecraft:diamond_shovel,277,false,net.minecraft.item.ItemSpade
minecraft:diamond_pickaxe,278,false,net.minecraft.item.ItemPickaxe
minecraft:diamond_axe,279,false,net.minecraft.item.ItemAxe
minecraft:stick,280,false,net.minecraft.item.Item
minecraft:bowl,281,false,net.minecraft.item.Item
minecraft:mushroom_stew,282,false,net.minecraft.item.ItemFood
minecraft:golden_sword,283,false,net.minecraft.item.ItemSword
minecraft:golden_shovel,284,false,net.minecraft.item.ItemSpade
minecraft:golden_pickaxe,285,false,net.minecraft.item.ItemPickaxe
minecraft:golden_axe,286,false,net.minecraft.item.ItemAxe
minecraft:string,287,false,net.minecraft.item.ItemBlockSpecial
minecraft:feather,288,false,net.minecraft.item.Item
minecraft:gunpowder,289,false,net.minecraft.item.Item
minecraft:wooden_hoe,290,false,net.minecraft.item.ItemHoe
minecraft:stone_hoe,291,false,net.minecraft.item.ItemHoe
minecraft:iron_hoe,292,false,net.minecraft.item.ItemHoe
minecraft:diamond_hoe,293,false,net.minecraft.item.ItemHoe
minecraft:golden_hoe,294,false,net.minecraft.item.ItemHoe
minecraft:wheat_seeds,295,false,net.minecraft.item.ItemSeeds
minecraft:wheat,296,false,com.pam.harvestcraft.item.items.ItemPamFood
minecraft:bread,297,false,net.minecraft.item.ItemFood
minecraft:leather_helmet,298,false,net.minecraft.item.ItemArmor
minecraft:leather_chestplate,299,false,net.minecraft.item.ItemArmor
minecraft:leather_leggings,300,false,net.minecraft.item.ItemArmor
minecraft:leather_boots,301,false,net.minecraft.item.ItemArmor
minecraft:chainmail_helmet,302,false,net.minecraft.item.ItemArmor
minecraft:chainmail_chestplate,303,false,net.minecraft.item.ItemArmor
minecraft:chainmail_leggings,304,false,net.minecraft.item.ItemArmor
minecraft:chainmail_boots,305,false,net.minecraft.item.ItemArmor
minecraft:iron_helmet,306,false,net.minecraft.item.ItemArmor
minecraft:iron_chestplate,307,false,net.minecraft.item.ItemArmor
minecraft:iron_leggings,308,false,net.minecraft.item.ItemArmor
minecraft:iron_boots,309,false,net.minecraft.item.ItemArmor
minecraft:diamond_helmet,310,false,net.minecraft.item.ItemArmor
minecraft:diamond_chestplate,311,false,net.minecraft.item.ItemArmor
minecraft:diamond_leggings,312,false,net.minecraft.item.ItemArmor
minecraft:diamond_boots,313,false,net.minecraft.item.ItemArmor
minecraft:golden_helmet,314,false,net.minecraft.item.ItemArmor
minecraft:golden_chestplate,315,false,net.minecraft.item.ItemArmor
minecraft:golden_leggings,316,false,net.minecraft.item.ItemArmor
minecraft:golden_boots,317,false,net.minecraft.item.ItemArmor
minecraft:flint,318,false,net.minecraft.item.Item
minecraft:porkchop,319,false,net.minecraft.item.ItemFood
minecraft:cooked_porkchop,320,false,net.minecraft.item.ItemFood
minecraft:painting,321,false,net.minecraft.item.ItemHangingEntity
minecraft:golden_apple,322,false,net.minecraft.item.ItemAppleGold
minecraft:sign,323,false,net.minecraft.item.ItemSign
minecraft:wooden_door,324,false,net.minecraft.item.ItemDoor
minecraft:bucket,325,false,net.minecraft.item.ItemBucket
minecraft:water_bucket,326,false,net.minecraft.item.ItemBucket
minecraft:lava_bucket,327,false,net.minecraft.item.ItemBucket
minecraft:minecart,328,false,net.minecraft.item.ItemMinecart
minecraft:saddle,329,false,net.minecraft.item.ItemSaddle
minecraft:iron_door,330,false,net.minecraft.item.ItemDoor
minecraft:redstone,331,false,net.minecraft.item.ItemRedstone
minecraft:snowball,332,false,net.minecraft.item.ItemSnowball
minecraft:boat,333,false,net.minecraft.item.ItemBoat
minecraft:leather,334,false,net.minecraft.item.Item
minecraft:milk_bucket,335,false,net.minecraft.item.ItemBucketMilk
minecraft:brick,336,false,net.minecraft.item.Item
minecraft:clay_ball,337,false,net.minecraft.item.Item
minecraft:reeds,338,false,net.minecraft.item.ItemBlockSpecial
minecraft:paper,339,false,net.minecraft.item.Item
minecraft:book,340,false,net.minecraft.item.ItemBook
minecraft:slime_ball,341,false,net.minecraft.item.Item
minecraft:chest_minecart,342,false,net.minecraft.item.ItemMinecart
minecraft:furnace_minecart,343,false,net.minecraft.item.ItemMinecart
minecraft:egg,344,false,net.minecraft.item.ItemEgg
minecraft:compass,345,false,net.minecraft.item.ItemCompass
minecraft:fishing_rod,346,false,net.minecraft.item.ItemFishingRod
minecraft:clock,347,false,net.minecraft.item.ItemClock
minecraft:glowstone_dust,348,false,net.minecraft.item.Item
minecraft:fish,349,false,net.minecraft.item.ItemFishFood
minecraft:cooked_fish,350,false,net.minecraft.item.ItemFishFood
minecraft:dye,351,false,net.minecraft.item.ItemDye
minecraft:bone,352,false,net.minecraft.item.Item
minecraft:sugar,353,false,net.minecraft.item.Item
minecraft:cake,354,false,net.minecraft.item.ItemBlockSpecial
minecraft:bed,355,false,net.minecraft.item.ItemBed
minecraft:repeater,356,false,net.minecraft.item.ItemBlockSpecial
minecraft:cookie,357,false,net.minecraft.item.ItemFood
minecraft:filled_map,358,false,net.minecraft.item.ItemMap
minecraft:shears,359,false,net.minecraft.item.ItemShears
minecraft:melon,360,false,com.pam.harvestcraft.item.items.ItemPamFood
minecraft:pumpkin_seeds,361,false,betterwithmods.common.items.ItemEdibleSeeds
minecraft:melon_seeds,362,false,net.minecraft.item.ItemSeeds
minecraft:beef,363,false,net.minecraft.item.ItemFood
minecraft:cooked_beef,364,false,net.minecraft.item.ItemFood
minecraft:chicken,365,false,net.minecraft.item.ItemFood
minecraft:cooked_chicken,366,false,net.minecraft.item.ItemFood
minecraft:rotten_flesh,367,false,net.minecraft.item.ItemFood
minecraft:ender_pearl,368,false,net.minecraft.item.ItemEnderPearl
minecraft:blaze_rod,369,false,net.minecraft.item.Item
minecraft:ghast_tear,370,false,net.minecraft.item.Item
minecraft:gold_nugget,371,false,net.minecraft.item.Item
minecraft:nether_wart,372,false,net.minecraft.item.ItemSeeds
minecraft:potion,373,false,net.minecraft.item.ItemPotion
minecraft:glass_bottle,374,false,net.minecraft.item.ItemGlassBottle
minecraft:spider_eye,375,false,net.minecraft.item.ItemFood
minecraft:fermented_spider_eye,376,false,net.minecraft.item.Item
minecraft:blaze_powder,377,false,net.minecraft.item.Item
minecraft:magma_cream,378,false,net.minecraft.item.Item
minecraft:brewing_stand,379,false,net.minecraft.item.ItemBlockSpecial
minecraft:cauldron,380,false,net.minecraft.item.ItemBlockSpecial
minecraft:ender_eye,381,false,net.minecraft.item.ItemEnderEye
minecraft:speckled_melon,382,false,net.minecraft.item.Item
minecraft:spawn_egg,383,false,net.minecraft.item.ItemMonsterPlacer
minecraft:experience_bottle,384,false,net.minecraft.item.ItemExpBottle
minecraft:fire_charge,385,false,net.minecraft.item.ItemFireball
minecraft:writable_book,386,false,net.minecraft.item.ItemWritableBook
minecraft:written_book,387,false,net.minecraft.item.ItemWrittenBook
minecraft:emerald,388,false,net.minecraft.item.Item
minecraft:item_frame,389,false,net.minecraft.item.ItemHangingEntity
minecraft:flower_pot,390,false,net.minecraft.item.ItemBlockSpecial
minecraft:carrot,391,false,net.minecraft.item.ItemSeedFood
minecraft:potato,392,false,net.minecraft.item.ItemSeedFood
minecraft:baked_potato,393,false,net.minecraft.item.ItemFood
